DATE,shift start time,shift end time,first sunrise,first sunset,second_sunrise,Darkness (minutes),% of Shift
2022-03-03,06:30:00,14:30:00,06:27:29,19:04:00,,0.0,0.0
2022-03-03,14:30:00,22:30:00,06:27:29,19:04:00,,206.0,42.9
2022-03-03,22:30:00,06:30:00,06:28:36,19:02:25,2022-03-04 06:28:36,478.6,99.7
2022-03-04,06:30:00,14:30:00,06:28:36,19:02:25,,0.0,0.0
2022-03-04,14:30:00,22:30:00,06:28:36,19:02:25,,207.6,43.3
2022-03-04,22:30:00,06:30:00,06:29:43,19:00:50,2022-03-05 06:29:43,479.7,99.9
2022-03-05,06:30:00,14:30:00,06:29:43,19:00:50,,0.0,0.0
2022-03-05,14:30:00,22:30:00,06:29:43,19:00:50,,209.2,43.6
2022-03-05,22:30:00,06:30:00,06:30:49,18:59:15,2022-03-06 06:30:49,480,100
2022-03-06,06:30:00,14:30:00,06:30:49,18:59:15,,0.8,0.2
2022-03-06,14:30:00,22:30:00,06:30:49,18:59:15,,210.8,43.9
2022-03-06,22:30:00,06:30:00,06:31:55,18:57:39,2022-03-07 06:31:55,480,100
2022-03-07,06:30:00,14:30:00,06:31:55,18:57:39,,1.9,0.4
2022-03-07,14:30:00,22:30:00,06:31:55,18:57:39,,212.4,44.3
2022-03-07,22:30:00,06:30:00,06:33:01,18:56:02,2022-03-08 06:33:01,480,100
2022-03-08,06:30:00,14:30:00,06:33:01,18:56:02,,3.0,0.6
2022-03-08,14:30:00,22:30:00,06:33:01,18:56:02,,214.0,44.6
2022-03-08,22:30:00,06:30:00,06:34:07,18:54:24,2022-03-09 06:34:07,480,100
2022-03-09,06:30:00,14:30:00,06:34:07,18:54:24,,4.1,0.9
2022-03-09,14:30:00,22:30:00,06:34:07,18:54:24,,215.6,44.9
2022-03-09,22:30:00,06:30:00,06:35:12,18:52:47,2022-03-10 06:35:12,480,100
2022-03-10,06:30:00,14:30:00,06:35:12,18:52:47,,5.2,1.1
2022-03-10,14:30:00,22:30:00,06:35:12,18:52:47,,217.2,45.2
2022-03-10,22:30:00,06:30:00,06:36:17,18:51:09,2022-03-11 06:36:17,480,100
2022-03-11,06:30:00,14:30:00,06:36:17,18:51:09,,6.3,1.3
2022-03-11,14:30:00,22:30:00,06:36:17,18:51:09,,218.9,45.6
2022-03-11,22:30:00,06:30:00,08:37:22,18:49:30,2022-03-12 08:37:22,480,100
2022-03-12,06:30:00,14:30:00,08:37:22,18:49:30,,127.4,26.5
2022-03-12,14:30:00,22:30:00,08:37:22,18:49:30,,220.5,45.9
2022-03-12,22:30:00,07:30:00,08:38:27,20:47:51,2022-03-13 08:38:27,480,100
2022-03-13,07:30:00,15:30:00,08:38:27,20:47:51,,68.5,14.3
2022-03-13,15:30:00,23:30:00,08:38:27,20:47:51,,162.2,33.8
2022-03-13,23:30:00,07:30:00,08:39:31,20:46:12,2022-03-14 08:39:31,480,100
