Month,Shift 1 (%),Shift 2 (%),Shift 3 (%),Total Low-Light (%)
March_2022,1.08,5.38,9.67,1032025.4
April_2022,0.19,5.56,10.92,373066.25
May_2022,0.0,5.27,10.86,356507.39
June_2022,0.0,5.27,11.39,351058.61
July_2022,0.0,5.13,11.0,351886.69
August_2022,0.05,5.33,10.74,362088.84
September_2022,0.49,5.56,10.62,394860.83
October_2022,0.9,5.38,9.85,432271.77
November_2022,1.81,5.56,9.3,534606.25
December_2022,1.9,5.38,8.86,556062.5
January_2023,1.79,5.38,8.97,539135.08
February_2023,1.77,5.95,10.13,512645.09
March_2023,1.5,5.38,9.25,32208.47
