dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1640995200,2022-01-01 00:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.07,8047,280.84,281.51,281.98,284.31,1014,,,86,3.09,280,,,,,,100,701,Mist,mist,50n
1640998800,2022-01-01 01:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.12,9656,280.89,282.26,281.98,284.31,1014,,,86,2.06,160,,,,,,100,701,Mist,mist,50n
1641002400,2022-01-01 02:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.38,9656,280.97,282.68,282.54,284.31,1014,,,85,1.54,260,,,,,,100,721,Haze,haze,50n
1641006000,2022-01-01 03:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.07,9656,281.01,282.06,281.98,284.31,1014,,,87,2.24,146,2.68,,,,,100,701,Mist,mist,50n
1641009600,2022-01-01 04:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.08,9656,281.02,282.44,281.98,284.31,1013,,,87,1.79,131,2.68,,,,,100,701,Mist,mist,50n
1641013200,2022-01-01 05:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,282.99,10000,281.1,281.97,281.99,284.31,1013,,,88,2.24,150,3.13,,,,,100,804,Clouds,overcast clouds,04n
1641016800,2022-01-01 06:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,282.87,10000,280.98,281.83,281.98,284.31,1013,,,88,2.24,149,6.71,,,,,100,701,Mist,mist,50n
1641020400,2022-01-01 07:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,282.9,10000,281.18,282.47,282.1,284.2,1013,,,89,1.54,180,,0.53,,,,100,500,Rain,light rain,10n
1641020400,2022-01-01 07:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,282.9,10000,281.18,282.47,282.1,284.2,1013,,,89,1.54,180,,0.53,,,,100,701,Mist,mist,50n
1641024000,2022-01-01 08:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.24,9656,281.35,282.6,282.54,284.2,1012,,,88,2.24,115,3.58,,,,,100,701,Mist,mist,50n
1641024000,2022-01-01 08:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.24,9656,281.35,282.6,282.54,284.2,1012,,,88,2.24,115,3.58,,,,,100,500,Rain,light rain,10n
1641027600,2022-01-01 09:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,282.97,10000,281.25,280.73,282.09,283.66,1011,,,89,4.47,119,5.36,0.11,,,,100,500,Rain,light rain,10n
1641031200,2022-01-01 10:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.23,10000,282.15,282.72,282.53,283.66,1011,,,93,0.45,122,2.24,0.25,,,,75,701,Mist,mist,50n
1641031200,2022-01-01 10:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.23,10000,282.15,282.72,282.53,283.66,1011,,,93,0.45,122,2.24,0.25,,,,75,500,Rain,light rain,10n
1641034800,2022-01-01 11:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.26,10000,281.7,282.68,281.99,284.31,1010,,,90,4.47,159,5.81,0.25,,,,100,500,Rain,light rain,10n
1641034800,2022-01-01 11:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.26,10000,281.7,282.68,281.99,284.31,1010,,,90,4.47,159,5.81,0.25,,,,100,701,Mist,mist,50n
1641038400,2022-01-01 12:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.47,9656,281.9,282.91,282.54,284.31,1010,,,90,1.79,194,4.92,0.25,,,,100,500,Rain,light rain,10n
1641038400,2022-01-01 12:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.47,9656,281.9,282.91,282.54,284.31,1010,,,90,1.79,194,4.92,0.25,,,,100,701,Mist,mist,50n
1641042000,2022-01-01 13:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.52,1609,281.95,282.96,283.09,284.31,1010,,,90,5.36,128,6.71,1.07,,,,100,501,Rain,moderate rain,10d
1641042000,2022-01-01 13:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.52,1609,281.95,282.96,283.09,284.31,1010,,,90,5.36,128,6.71,1.07,,,,100,701,Mist,mist,50d
1641045600,2022-01-01 14:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.76,8047,282.19,283.23,283.09,284.31,1010,,,90,3.58,162,7.15,0.54,,,,100,500,Rain,light rain,10d
1641045600,2022-01-01 14:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.76,8047,282.19,283.23,283.09,284.31,1010,,,90,3.58,162,7.15,0.54,,,,100,701,Mist,mist,50d
1641049200,2022-01-01 15:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.92,8047,282.35,283.4,283.1,284.76,1011,,,90,3.58,196,9.39,0.29,1.78,,,100,500,Rain,light rain,10d
1641049200,2022-01-01 15:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,283.92,8047,282.35,283.4,283.1,284.76,1011,,,90,3.58,196,9.39,0.29,1.78,,,100,701,Mist,mist,50d
1641052800,2022-01-01 16:00:00 +0000 UTC,-18000,Secaucus,40.789545,-74.05653,284.53,4828,283.11,284.1,283.76,285.31,1009,,,91,5.36,136,8.94,0.3,,,,100,500,Rain,light rain,10d
